Gene	090317_0121166	090318_0121167	090319_0121168	090320_0121169	090321_0121170	090322_0121171	090323_0121172	090324_0121173	090325_0121174	090326_0121175	090327_0121176	090328_0121177	090329_0121178	090330_0121179	090331_0121180	090332_0121181	090333_0121182	090334_0121183	090335_0121184	090336_0121185	090337_0121186	090338_0121187	090339_0121188	090340_0121189	090341_0121190	090342_0121191	090343_0121192	090344_0121193	090345_0121194	090346_0121195	090347_0121196	090348_0121197	090349_0121198	090350_0121199	090351_0121200	090352_0121201	090353_0121202	090354_0121203	090355_0121204	090356_0121205	090357_0121206	090358_0121207	090359_0121208	090360_0121209	090361_0121210	090362_0121211	090363_0121212	090364_0121213	090365_0121214	090366_0121215		MaxL2T	MinL2T	Max-Min	Max-Min/Min+1	coeff of var	#samples_zero
NOCT	3.2	3.2	3.2	2.8	3.2	3.7	3.5	3	3.7	3.3	3	2.3	3.5	3.8	3.2	3.6	3.6	3	3.6	3.5	3.5	3.6	3.7	2.8	3.6	2.8	3.7	2.8	3.5	3	3.2	3.6	3.8	3.7	3	3	3.3	3.7	3.3	3.5	3.3	3.5	3.2	4	3.9	3	3.2	3.5	3.9	3.6		4	2.3	1.7	0.515151515	0.105271453	0
GINS3	3.7	3.5	3.6	3.5	3.6	3.7	3.6	3.3	5	4.3	4.4	3	3.5	4	3.2	4	4.1	3.8	3.5	3.8	3.9	3.6	4.7	3.6	4.2	3.6	3.8	3.6	3.8	3.6	4	3.3	3.2	3.9	3.3	3.6	4.1	4.5	3.5	3.6	3.3	3.6	3.3	3.7	3.9	4	4.1	3.7	4.2	4.1		5	3	2	0.5	0.105265112	0
GPHN	2.8	3.3	3.2	3.5	3.5	3.2	3.2	3.2	2	3.5	3.3	2.8	3.7	3	3.3	3.3	3.5	3.3	3	2.8	3.2	3.3	4	3	3.2	3.2	3.8	3.3	3.6	3.5	3	3.3	3.3	2.6	3.2	3.6	3.6	3.7	3.3	3.5	2.6	3	3.6	3.2	3.6	3.5	3.3	3.2	3.3	3		4	2	2	0.666666667	0.105251906	0
RPUSD2	3.5	3.7	3.7	3.7	3.7	3.7	2.8	3.5	4.5	3	4	4.6	3.5	3.7	4.2	3.3	3.7	4	3.9	3.5	3.6	3.6	3.9	4	3.3	3.7	3.2	4.1	3.6	3.7	3.6	3.5	2.6	4	3.5	3.5	3.6	3.6	3.7	3	3.2	3.7	3	3.6	3.7	3.3	4.2	3.6	3.8	3.8		4.6	2.6	2	0.555555556	0.105222379	0
PUS1	3.5	3.3	3.9	3.6	3.7	4	3.3	3.9	1.6	4.2	3.7	4	3.8	3.9	4.1	3.5	4.1	4	3.5	3.7	3.7	3.6	3.3	3.6	3.5	3.5	3.3	3.7	3.6	3.7	3.6	3.7	3.9	3.9	3.5	3.5	3.9	3.9	3.3	3.9	3.5	3.8	3.6	4	3.7	3.5	4	4	3.9	4.2		4.2	1.6	2.6	1	0.105214134	0
FHL2	4	3.6	3.3	3.6	3.8	4.2	4.1	3.9	4.9	4.2	4.6	4.8	4.1	3.6	4	3.5	3.9	3.2	3.7	4	4.1	3.9	4.8	4.1	4.3	3.9	4.3	4	3.5	3.5	3.8	3.7	4.3	4.2	3.9	4.6	3.9	4.2	3.9	4	4.6	3.7	3.7	5.1	4.1	3.6	3.8	4	4.9	4.4		5.1	3.2	1.9	0.452380952	0.105210478	0
ABCF2-H2BE1	5	5.8	5.2	5.4	5.6	5.4	5.1	5.8	4.5	5.6	5.2	5.9	5.8	5.7	5.7	5.2	4.8	4.9	5.6	5.4	5.6	5.6	2.3	5.4	5.4	5.9	5.5	5.6	5.9	5.8	5.4	5.5	5.6	5.6	5.3	5.6	5.5	5.7	5.8	5.4	4.2	5.2	5.4	5.6	5.4	5.4	5.5	5	5.2	6		6	2.3	3.7	1.121212121	0.105204544	0
CLEC2B	4.5	3.9	4	4.5	4	4.5	4.5	4.6	3.9	4.6	4.2	4.1	4.2	3	4.2	4.6	4.9	4.5	3.8	3.6	4.5	4.2	3	3.8	3.9	3.5	3.7	3.6	4.2	4.1	4.3	3.8	4.2	3.9	4	3.6	4.2	4.1	3.9	4.5	4.5	4.1	3.7	3.5	4.3	4.9	4.5	4.9	4.6	4		4.9	3	1.9	0.475	0.105153744	0
PEX6	2.8	3.2	3	3.6	3.3	3.3	3.2	3	3.2	3.3	3.5	2.8	3.7	3	3.2	3.6	3	3.2	3.3	3.3	3.5	3.2	2.3	3.5	3.2	3.6	3.5	3.6	3.5	3.9	3.3	3.5	2.6	3.5	3	3.3	3.3	3.2	3.5	3.2	3.2	3.6	2.8	3	3.3	3.5	3.2	3.7	2.3	2.6		3.9	2.3	1.6	0.484848485	0.105127215	0
DEPDC5	3.5	4.2	4.2	3.5	4.3	4.2	4.2	3.9	3.2	3.6	3.7	3.3	3.9	3.9	4.2	3.8	3.5	2.8	4	3.9	3.9	4.2	5.1	4.2	4.1	3.8	3.8	4.4	3.3	4	4.1	4.2	4.2	4.3	4.1	4	4.2	4.1	4.2	3.7	2.8	4.4	4.2	4.3	3.9	4.3	3.8	4	3.7	4.5		5.1	2.8	2.3	0.605263158	0.105046046	0
DST	5	5.8	5.9	6.1	6	5.8	6.2	5.9	3	4.4	4.6	5	5.3	5.2	5.4	4.9	5.6	5.2	5.9	6	5.8	5.9	6.7	6.1	5.4	5.9	5.7	5.8	5.8	6.1	6	6.1	5.8	6	5.9	6	5.9	6.1	6	5.8	4.5	5.8	5.8	5.7	5.8	5.8	5.4	5.6	5.3	5.9		6.7	3	3.7	0.925	0.105040355	0
CPEB4	3	2.8	3.3	2.6	3	3.2	3.2	2.8	3.7	2.8	3.2	2.6	3	2.8	2.6	3	2.8	2.6	2.8	3.3	3	3.2	4.5	2.8	3	3.2	3	3.2	3	2.8	3	3	3.5	3.6	3.2	3.2	3	3	3	2.8	2.8	3	3.2	3	3	3.2	2.8	3	2.8	3		4.5	2.6	1.9	0.527777778	0.104913871	0
PPP2R3B	2.8	3	3	3.5	3.2	3.2	3	3.2	3.9	4	3.6	3.8	3	3.7	2.8	3.6	3	3	3.2	3	3.6	3	3.2	2.6	3.5	3.2	3	3.3	3	3.5	3.5	3	3.5	3.8	3.5	3.5	3.5	3.7	3	2.8	2.6	3.2	2.8	3.5	3	3.3	3.7	3.5	3.3	3		4	2.6	1.4	0.388888889	0.104903676	0
MTHFR	2.3	2.8	2.8	3.3	2.8	2.8	3	3	2.6	2	2.6	2.8	2.6	3	2.8	3	2.8	2.3	2.8	3.2	3.3	3.2	3	3	2.3	2.8	3	3	3.3	3.2	3.2	2.8	2.8	2.6	2.3	2.8	2.6	2.6	2.6	2.8	2.6	3	2.6	2.8	2.8	3	3.2	2.8	2.3	2.6		3.3	2	1.3	0.433333333	0.104897685	0
ZNF398	3.2	3.5	3.2	3.6	3.2	3	3.5	3	2	3	3	3	3.6	3	2.8	3.5	3	2.3	3.2	3	3	3	3.6	3.2	2.8	3	3	3.3	3.6	3	2.8	2.8	3.2	3.3	3	3	3	3.3	3	2.8	2.3	2.8	3	3	3	3.5	3	3	3.2	3.3		3.6	2	1.6	0.533333333	0.104833282	0
BORCS8	4.3	4.6	4.5	5.1	4.4	4.6	4.2	4.8	4	4.7	5.5	4.5	5	4.5	4.6	4.7	4.1	4.7	4.3	4.4	4.9	4.7	3.3	4.3	4.2	3.8	4.2	5	5	5.2	4.9	3.7	3.5	4.5	4.1	4.5	4	4.1	3.6	4.3	3.7	4	4.1	4	4.6	4.8	4.1	4.6	4	4.8		5.5	3.3	2.2	0.511627907	0.104805275	0
TTC9	3.7	3.9	4	3.7	3.9	3.8	4.3	4.4	1.6	4.6	4	3.8	3.8	3.6	3.8	4.2	3.8	3.8	4	3.7	3.7	3.9	3.8	3.8	3.6	3.6	3.7	4.1	4.2	3.9	3.7	4.1	3.8	3.6	3.2	3.8	3.9	4.1	3.7	4.1	3.6	3.8	4	3.9	4.2	4	3.8	4.2	3.8	3.9		4.6	1.6	3	1.153846154	0.104736789	0
ZFP1	3.6	3	3.5	3	3.2	3.2	3.6	2.8	2.8	3.6	3.3	3.8	3.7	3.2	4	3.8	3.3	2.8	3.6	3	3.5	3	3.6	3.7	3.2	3	3.2	3	3.5	3.2	2.8	3.2	3	3	2.3	3	3.5	3.5	2.8	3.9	3	3.2	3.2	3.3	3.5	3.5	3.2	3.2	3	3.5		4	2.3	1.7	0.515151515	0.104724054	0
NDUFS7	5.7	5.4	5.3	6	5.2	5.7	5	5.4	7	6.5	5.9	6.5	5.7	6	6.3	6.4	5.7	5.8	5.3	5.9	5.9	5.3	3.3	5.6	5.1	5.3	5.6	6.1	5.6	6.1	6.4	5.2	5	5.2	4.5	5	5.7	5.2	4.8	5.6	5.4	5.5	5.5	5.2	5.6	5.4	5.8	6.1	5.6	5.3		7	3.3	3.7	0.860465116	0.104712684	0
CHAC2	4.2	4	3.9	3.9	3.8	4.4	4.2	3.8	3.8	2.8	4.5	3.9	3.8	3	3.5	4	4.1	3.9	4	4	3.9	4.1	3.9	3.9	4.2	4	4.6	4.3	2.8	4.3	3.6	4.4	4	4.5	4.1	4.1	4.2	4.4	4.2	3.7	4.4	4.1	4.6	4.6	4.3	4	3.7	3.6	4.6	4.9		4.9	2.8	2.1	0.552631579	0.104707944	0
DYRK4	3.7	4.4	3.3	4.2	4.2	4.2	4.2	3.9	4.1	3.6	3.7	4.2	4.1	3.3	4.5	4.2	4.6	4.3	3.8	3.9	4.7	4	3.6	4.2	3.2	3.7	3.8	3.7	4.2	3.9	3	3.8	3	3.8	3.2	4.3	4	4.2	4.1	4.4	4.1	3.7	3.5	3.9	4	4.7	3.8	4.6	4.2	4.3		4.7	3	1.7	0.425	0.104679784	0
WDR74	6.4	6	6.7	5.8	5.7	6.1	5.8	6.2	5.9	6.1	5.7	6.1	5.7	6	5.9	6.1	6.3	6.7	6.2	6.2	6	6.1	7.1	5.9	7.6	5.7	5.7	5.9	6.1	5.6	6.4	6.5	7.5	5.9	5.7	5.4	6.1	6.3	6.8	7.1	9.1	6.9	5.5	5.8	6.1	5.2	6.7	6.4	6.5	5.9		9.1	5.2	3.9	0.629032258	0.104677978	0
USP30	2.8	3.2	3	3	3	3.2	3.5	3.3	3.3	3	3.3	3	2.6	2.3	3	2.6	2.6	2.8	2.6	2.6	3	2.6	3.3	3	2.8	2.6	3	2.3	2.8	2.8	2.8	3.2	2.8	3.3	2.8	2.8	3.3	2.8	2.3	3.3	2.8	3	3	2.6	2.8	3.7	2.8	3	2.6	2.8		3.7	2.3	1.4	0.424242424	0.1046363	0
SUV39H1	3.2	3.3	3.3	3.7	3.6	3.6	3.3	3.5	3	4.1	3.8	3.6	4.5	3.3	3.7	3.6	3.6	4.2	3.5	3.8	3.5	3.6	2.8	3.6	3.2	3.6	3.6	4.2	3.5	3.9	3.6	3.6	3.3	3.7	3.2	3.3	3.3	3.7	3.5	3.5	2.3	3.2	3.3	2.8	3.6	3.5	3.6	3.7	3.2	3.9		4.5	2.3	2.2	0.666666667	0.104599896	0
LDAF1	4.7	3.9	4.5	4.6	4.5	5	4.4	4.5	6.5	5.6	4.5	4.6	4.6	5	4.7	5	5	4.8	4.3	4.5	4.7	4.5	5.9	4.2	5	4.5	4.6	4.7	4.5	4.5	4.4	4.2	5.3	5.4	4.5	4.8	4.7	4.5	3.9	4.2	5.4	4.2	4.2	5.1	3.9	4.6	4.2	4.6	4.9	4.7		6.5	3.9	2.6	0.530612245	0.104589998	0
GPX3	4	4	3.7	3.6	3.8	3.5	3.8	3.6	3.6	3.6	4	3.9	3.5	3.6	3	3.8	3.5	3.6	3.2	4	3.8	3	4.6	3.3	3.3	3.6	3.7	3.8	3.6	3.6	3.6	3	3.3	3.5	2.8	3.2	3.3	3.2	2.8	2.8	3.3	3.8	4.2	3.5	3	3.5	3.5	3.2	3.6	3.3		4.6	2.8	1.8	0.473684211	0.104578723	0
NUP62CL	2.8	2.8	3	3	3.2	3.3	2.6	3	2.8	3	3.7	3.2	3.7	3.3	3.7	3.2	3.2	3.8	3.6	3	3.5	2.8	2.6	3.2	3.3	3.2	3	2.8	3.3	2.3	3.3	3.5	3.6	3.7	3.2	3.5	3.3	3.7	3.3	3	3.5	3.6	3	3.3	3.5	3.2	3.6	3.3	3.2	3.7		3.8	2.3	1.5	0.454545455	0.104570276	0
ZER1	3.3	3.3	2.8	3.7	3.7	3.6	3.5	3.3	3.5	3.9	4.1	3.7	3.2	3.6	3.6	3.9	3.3	3.3	3.3	3.7	3.7	3.3	3.8	3.2	3.3	3.2	3.2	3.7	3.5	3.8	3.6	3.2	2.6	3.2	3.2	3.6	3.6	3.5	3.2	3.2	2.3	3.5	3.3	2.8	2.8	3.2	3.3	3.6	2.8	3		4.1	2.3	1.8	0.545454545	0.104568854	0
STARD8	3.8	4.2	4.4	4.8	4.5	4.5	4.2	4.3	1.6	4.5	4.2	4.7	4.7	4.7	4.4	4.1	4	4.3	4.4	4.6	4.8	4.5	4.6	4.5	4.4	4.2	4.4	4.6	4.6	4.6	4.7	4.5	4.5	4.5	4.3	4.3	4.6	4.8	4.2	4.3	3.9	4.2	4.4	4.5	4.3	4.6	4.5	4.6	4.5	4.3		4.8	1.6	3.2	1.230769231	0.10456558	0
SVBP	4.9	4.5	4.2	4.9	4.6	5	4.4	5.4	4.6	4.2	4.6	4.6	5.2	4.8	4.9	4.6	5.1	5.4	4.6	4.9	4.3	4.8	2	4.7	5	4.9	4.5	5.2	4.9	4.8	4.2	4.9	4.4	4.4	4.6	4.9	5	4.6	4.3	4.9	5	4.9	4.8	4.4	4.9	4.5	5	4.7	4.2	4.7		5.4	2	3.4	1.133333333	0.104550992	0
GPR137	3.7	3.7	3.8	4.5	4	4.1	3.9	3.8	3.3	5.4	4.2	4.2	3.6	4.1	3.9	3.9	3.8	4	3.8	4.2	4.2	3.8	4.5	3.7	3.5	4.1	3.2	4	3.6	3.9	4.1	3.9	3.5	3.6	3.8	4.2	4	4.4	3	4.2	3.7	3.9	3.6	3.6	3.9	3.8	3.9	4.2	2.8	3.5		5.4	2.8	2.6	0.684210526	0.104529231	0
CROCC	3.8	4.2	4.1	4.4	4.2	3.9	3	4.5	2.6	3	3.9	4.2	4.2	4	3.9	3.9	4.2	4.2	4.3	4.5	4.5	4.2	2.8	4.5	3.8	4.1	3.7	4	4.2	4.6	4.6	4	3.8	4.2	4	4.2	4.1	4	4.2	3.9	3.7	4.4	4	3.9	3.9	4.5	4.2	4.2	4	4.1		4.6	2.6	2	0.555555556	0.104518451	0
ZNF354B	3.7	3.8	3.9	3.3	3.6	3.3	3.5	3.5	3	2	3.3	3.3	3.7	3.6	3.6	3	3.3	3.8	3.8	3.6	3.6	3.6	3.9	3.3	3.9	3.7	3.3	3.2	3.9	3.3	3.6	4	4.1	3.2	3.7	4	3.6	4.2	3.7	3.8	4	4	3.3	3	3.7	3.3	3.5	3.5	3.8	3.9		4.2	2	2.2	0.733333333	0.104487752	0
TRIB3	3.3	4	3.7	3.9	3.8	4.5	4.3	4.2	4.5	5	4.6	4.7	4.9	4.7	4.6	4.2	3.9	3.7	3.9	4.3	4.2	4	3	4.1	4	3.9	3.9	4	4.2	4.3	4	4.1	4.2	4.2	3.6	3.5	4	4.5	3.8	4.4	4.1	3.7	3.3	4.3	4.6	4.4	4.7	5	3.9	4.6		5	3	2	0.5	0.104467027	0
JMJD4	3.8	3.8	3.2	3.7	3.6	3.8	3.5	3.5	3.3	4.2	4	4.8	4.2	3.7	3.7	3.8	3.8	2.8	2.8	4.1	3.5	3.2	3.2	3.2	3.2	3.5	3.2	3.6	3.5	3.2	3.8	3.3	3.3	3.2	3.2	3.5	3.6	3.7	3.3	3.2	3.9	3.8	3.6	3.7	3.3	3.7	3.5	4.2	3.5	3.9		4.8	2.8	2	0.526315789	0.104449933	0
CIAO2B	5.6	4.8	4.6	5.4	5.4	5.2	5.1	5	4.8	5.1	4.9	5.3	5.9	4.9	5.6	5.8	4.7	5	4.5	5.1	5.3	4.7	2.3	4.9	5.3	5.1	4.5	4.7	5	5.4	5	5	4.6	5	5.1	5.2	4.9	4.8	4.5	5.6	5.2	5	4.6	4.5	5	5.2	5	5.8	5.1	4.9		5.9	2.3	3.6	1.090909091	0.104434283	0
LY6E	4.1	4.1	4.5	4.2	4.2	4.1	4.2	4.2	2.8	5.4	4.2	3.7	4.2	4.2	4.2	4.6	4.5	4.6	3.7	4.1	4.5	3.9	4	4.1	3.8	3.7	3.3	4.4	4.1	3.6	4.4	3.7	3.6	3.2	3.9	4.3	3.9	3.9	3.6	3.8	4.1	4.2	3.8	3.8	4	4.3	4.5	4.2	4.1	3.3		5.4	2.8	2.6	0.684210526	0.104373582	0
FLYWCH2	5.3	5.6	5.2	5.6	5.4	5.7	5	5.8	6.4	6	6.4	6.1	6.5	6.2	6	6	5.4	5.6	5.6	5.9	6.1	5.4	2.8	5.4	5.2	5	5	5.8	6.1	5.5	5.2	5.4	5	5	5	5.5	5.4	5.2	5.2	5.5	4.9	5.8	5.5	5	5.3	6.2	5.3	5.4	5.2	5.4		6.5	2.8	3.7	0.973684211	0.104359894	0
ATPAF2	3.7	3.8	3.7	4	3.6	3.5	3.8	4	4.4	3.8	4.6	3.9	4	3.5	4.2	4.4	3.7	3	3.5	3.2	3.7	3.8	2.8	3.2	3.6	3.2	4.1	3	3.6	4.5	4	3.2	3.3	3.9	4	3.5	3.7	3.8	3.8	3.8	3.7	3.9	3.2	3.3	3.3	3.8	3.6	3.6	3.5	3.8		4.6	2.8	1.8	0.473684211	0.104350228	0
SH3GLB2	4.1	4.5	4	4	4.1	4.4	3.7	4.8	3.7	4.3	4.3	5	4.1	5	5	4.7	3.9	3.7	4.2	4.5	4.9	4.2	2.6	4.1	3.6	3.6	4.3	4.5	4.2	4	4.5	4.1	4.1	3.9	4.1	3.7	4.3	4.6	3.7	4.2	3.6	4	3.9	4.2	4.4	4.3	4.5	4.6	4.2	4.4		5	2.6	2.4	0.666666667	0.104299163	0
ATP13A1	3.9	4.1	3.8	4.3	4.1	4	4.1	4	2.6	5	4.6	5.1	4.6	4.2	4.3	4.2	3.9	3.6	3.8	4.3	4.2	3.9	4.2	4.1	3.2	3.8	4.1	4.2	4.2	4.6	4.5	4	3.5	3.7	3.6	3.7	4.2	4.4	3.5	4.4	3.5	4.2	3.7	4	4.1	4.1	4.2	4.3	3.7	4		5.1	2.6	2.5	0.694444444	0.104289092	0
ACER2	4.5	5.2	5.4	5.5	5.5	5	5.5	5.3	3.2	4.6	5.3	5.2	5.2	4.7	4.8	5	5	4.6	5.2	5.1	5.4	5.4	6.5	5	4.6	5.1	5.5	5.3	5.5	5.4	5.4	4.7	4.5	4.3	5.4	5.5	5	5	4.6	5.3	4.2	5.4	5.5	4.4	4.9	5.4	4.3	4.9	4.4	4.2		6.5	3.2	3.3	0.785714286	0.10428299	0
MDN1	4.4	5.4	5.2	5.3	5.2	5	4.9	5.2	3	3.7	3.9	4.3	4.5	4.2	4.3	4.2	4.9	4.8	5.3	5.4	5.2	5.2	5.4	5.4	5	5.2	5	5.3	5	5.3	5.3	5.4	5.1	5.2	5.3	5.4	5.2	5	5.5	5.1	4	5.3	5.1	5	5	5	5	5	4.6	5.1		5.5	3	2.5	0.625	0.104282067	0
NEK2	3.5	3.8	3.3	3.6	3.9	3.2	3.3	4	2.6	2.3	4.2	3.3	3.9	3.5	3.6	3.3	3.8	4.2	3.6	3.5	3.7	3.5	3	3.8	3.6	3.7	3.7	3.5	3.6	3.3	3.7	3.6	3.3	3.3	4	3.5	3.6	3.2	3.5	3.2	3.5	3.7	3.7	3	3	4.2	3.5	3.2	3.8	3.5		4.2	2.3	1.9	0.575757576	0.104280599	0
DNAJC17	4	3.9	4.2	4	4.2	4.1	3	4.1	3	3.6	4.2	3.9	4	3.7	3.6	3.7	4	4.2	3.9	3.9	4.1	4.2	2	4	4.1	4.2	3.7	3.9	3.6	3.9	4.3	4	4.1	4.3	3.9	3.3	4	4	3.8	3.6	4	3.7	3.3	4.3	4	4.1	4	4.2	4.1	3.7		4.3	2	2.3	0.766666667	0.104229301	0
ZNF841	3	3.3	3.3	3.6	3.3	3.5	4	3.3	2.6	3.2	3	2.6	3.7	3.5	3	2.6	3	3	3.2	3.7	3.3	3.2	4.5	3.3	3.2	3.2	3.3	3.2	3.3	3.3	3.6	3.3	3.5	3.2	3.3	3.7	3.5	3.2	3.2	3.6	2.8	2.8	3.3	3.6	3.5	3.7	3.3	3.5	3.5	3.7		4.5	2.6	1.9	0.527777778	0.104162809	0
DPH7	3.3	3.2	3.3	3.2	3.2	2.8	3.3	3.6	2.6	4	4	3.6	3.7	4	3.2	3.3	3.2	3.3	3.5	3.9	3.7	3.3	2.6	3.5	3.7	2.8	3	2.8	3.2	3.3	3.8	3.3	3.6	2.6	3.3	3.6	3.5	3.2	3.3	3.3	3	3.2	3.2	3.3	3.5	3.2	3.3	3.9	3.2	3.5		4	2.6	1.4	0.388888889	0.104110797	0
UBALD2	4.6	4.3	4.6	3.7	4.3	3.3	4.8	4.6	4.8	4	3.9	4.2	4.3	4.2	4	4.4	4.4	3.8	4.5	3.5	4.2	4.3	4.9	4.1	3.9	4.1	4.5	4.2	4.6	4.4	4.1	3.9	3.6	3.8	3.8	4.4	4.2	3.8	4.1	4.3	4.5	4.8	4.7	3.3	4.2	3.3	3.7	4.4	3.2	3.5		4.9	3.2	1.7	0.404761905	0.104093189	0
RITA1	3.5	3.8	3.6	3.7	3.7	3.8	3	4.1	2.8	4.6	3.3	4	3.9	4.6	4.4	3.9	3.5	3.6	3.6	3.8	3.7	3.6	3	3.3	2.8	3.6	3.3	4.2	4	4.3	4	3.8	4.2	3.5	3.8	3.8	3.7	3.7	4.2	3.9	3.3	3.6	3.7	3.7	3.6	3.8	4	3.9	3.7	4		4.6	2.8	1.8	0.473684211	0.104087894	0
RMND5B	3.6	3.2	3.7	3.7	3.5	3.5	3.3	3.7	2.3	3.6	3	3.8	4.2	3.5	3.5	3.6	3.7	3.6	3.5	3.5	3.8	3.6	2	3.3	3.5	3.5	3.6	3.3	3.5	3.8	3.7	3.6	3	3.5	3.5	3.8	3.5	3.5	3.2	3.5	3.2	3.6	3.5	2.8	3.6	3.2	3.5	3.6	3.2	3.7		4.2	2	2.2	0.733333333	0.104076954	0
UBR4	3.7	4.6	4.5	4.9	4.7	4.8	4.8	4.7	2.6	3.7	3.5	3.9	4.2	4.2	4.1	4	4.3	3.9	4.6	4.8	4.6	4.7	5	4.6	3.9	4.4	4.2	4.8	4.6	4.9	4.7	4.5	4.3	4.3	4.5	4.6	4.6	4.8	4.3	4.8	3.3	4.5	4.5	4.6	4.5	4.6	4.3	4.5	4	4.5		5	2.6	2.4	0.666666667	0.104039195	0
MAN2A2	3.8	4.2	4	4.6	4.2	4.2	4.2	4.4	1.6	4.1	3.9	4.5	4.3	4.2	4.2	3.8	4.2	4	4.3	4.7	4.6	4.5	4.1	4.2	4.1	4.3	4.1	4.5	4.4	4.6	4.3	4.3	3.9	4.5	4.2	4.2	4.4	4.2	4.2	4.6	3.8	4.4	4.2	4.2	4.2	4.4	4.5	4.4	3.8	4.2		4.7	1.6	3.1	1.192307692	0.10403332	0
SLC7A2	3.2	3.5	3.8	3.3	3.7	3.8	3.8	3	2	3.5	3.3	3.2	3.2	3.9	3.6	3.7	3.5	3.2	3.6	3.6	3	3.3	4.6	3.5	3.6	3.6	3.7	3.5	3.6	3.6	3.3	3.5	3.9	4	3.9	3.6	3.8	4	3.6	3.6	3.5	3.5	3.7	4.2	3.7	3.3	3.6	3.5	3.9	3.9		4.6	2	2.6	0.866666667	0.104013664	0
TMEM260	3.2	3	3.2	3.3	3.2	3.2	3.6	2.8	2	2.8	2.6	3	2.8	3.2	2.8	3.7	3.2	2.6	3.2	3.2	2.8	3.5	3	3.2	3	2.8	3.2	3.7	3.2	3.9	3.2	3.3	2.8	3.3	3.3	3.6	3.3	3.3	3	3.5	3	3	3.5	3	3.2	3.3	3.2	3.2	2.8	3.2		3.9	2	1.9	0.633333333	0.103990277	0
WDR18	4.9	4.3	4.3	4.2	4.2	4.6	4.6	4.8	5	4.9	4.7	4.9	5	4.8	4.6	4.9	4.6	4.5	4	4.5	4.3	3.9	3	4.2	4.2	3.9	4.6	3.9	4	4.6	4.3	4.3	4.5	3.2	3.9	4.1	4.6	4.6	4	4.5	4.2	3.6	4	3.5	4.2	4.7	4.2	5	3.9	4.1		5	3	2	0.5	0.103989163	0
CCDC107	4.2	4.2	3.5	4.2	4.1	3.6	3.7	4.4	4.9	4.9	4.2	3.6	4.2	3.8	3.9	4.6	4.2	3.6	4	4.4	4.5	3.9	3	4.1	3.5	4.5	3.8	4.6	4.6	4.3	4.3	4.1	3.3	3.5	3.7	3.9	3.9	3.9	3.7	4.5	4.5	4.3	3.9	3.6	4.2	3.6	4.6	4.6	3.8	3.8		4.9	3	1.9	0.475	0.10396392	0
IPO13	3.5	3.3	2.8	3.2	3.3	3.2	3.2	3.2	3.5	3.7	2.6	3.2	2.8	3.8	3.5	3.2	3.2	3	2.8	3.3	3.2	3.2	3.3	2.8	2.6	3	3.2	2.8	3.2	3.5	3.3	3	2.8	2.6	2.3	3.3	3.5	3.5	3	3	2.6	3.2	3.2	2.8	3.5	3.6	3.2	3.3	2.6	3		3.8	2.3	1.5	0.454545455	0.103952187	0
SULT1A3	3.2	3.8	3.7	4.3	3.7	4.5	3.6	3.2	3	4.8	4	3.8	4.4	3.6	3.8	4.2	3.7	4.2	3.9	4.5	3.8	3.9	4.8	3.6	3.8	3.8	3.6	4.1	4.2	3.7	3.9	3.5	3	4	3.9	4.2	3.7	3.8	3.7	3.6	3.3	3.6	3.7	3.3	3.6	3.7	4.2	3.9	3.5	4.2		4.8	3	1.8	0.45	0.103937895	0
PSMG4	4.2	4.2	3.8	3.9	4	4.5	4	3.3	4.3	3.7	4.2	3.3	4	4.3	4.2	3.3	4.5	4.5	4	3.7	4	4.1	3.9	4.2	4	3.8	2.6	3.7	3.5	4.1	3.7	3.9	3.7	4.2	3.9	3.8	3.8	3.3	3.5	3.7	4.4	3.9	3.6	2.8	3.7	3.3	3.9	3.5	4.1	4		4.5	2.6	1.9	0.527777778	0.103929229	0
CCDC71	4.3	4.4	4.4	4.8	4.6	4.7	4.5	4.6	4.5	4.8	5.2	4.8	5	5.5	5.1	4.7	4.4	4.2	4.3	4.1	5	4.5	2.3	4.4	4.7	4.6	3.7	4.5	4.2	4.6	4.8	4.5	4.5	3.9	4.4	4.5	4.8	4.6	4.7	4.8	4.2	4.2	4.4	4.6	4.5	4.3	4.9	5	4.9	5.4		5.5	2.3	3.2	0.96969697	0.103864551	0
CIBAR1	4.1	4.2	3.7	4.2	4.1	4.1	4.2	3.9	1.6	4.4	4	3.6	3.6	4.4	4.5	4	3.9	4	3.9	4.1	4.2	4.2	3.3	4.1	4	3.8	4.2	4	3.9	3.9	3.9	4	4	4.1	4.2	4.2	4.2	4.2	4	4.4	3.8	4.2	4	4.5	4.1	4.1	4.2	4.1	4.4	4.2		4.5	1.6	2.9	1.115384615	0.103863573	0
ZNF254	4.5	4.8	5	5	4.9	4.3	4.6	5.2	3.9	3.5	4.2	5.5	4.1	4.2	4.9	5.6	4.5	4.5	5.2	5	5.2	5.1	4.7	4.9	5	4.1	5	4.3	5.4	4.6	4.9	4.2	4.6	4.6	4.3	4.9	4.6	5.8	5.4	4.5	3.6	4.2	4.5	4.3	5	5	5	4.7	4.2	4.6		5.8	3.5	2.3	0.511111111	0.103862971	0
